id,name,base_experience,height,weight,types,abilities,moves,hp,attack,defense,special-attack,special-defense,speed
1,Bulbasaur,64,7,69,"grass, poison","overgrow, chlorophyll","razor-wind, swords-dance, cut, bind, vine-whip",45,49,49,65,65,45
2,Ivysaur,142,10,130,"grass, poison","overgrow, chlorophyll","swords-dance, cut, bind, vine-whip, headbutt",60,62,63,80,80,60
3,Venusaur,236,20,1000,"grass, poison","overgrow, chlorophyll","swords-dance, cut, bind, vine-whip, headbutt",80,82,83,100,100,80
4,Charmander,62,6,85,fire,"blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance",39,52,43,60,50,65
5,Charmeleon,142,11,190,fire,"blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance",58,64,58,80,65,80
6,Charizard,240,17,905,"fire, flying","blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance",78,84,78,109,85,100
7,Squirtle,63,5,90,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle",44,48,65,50,64,43
8,Wartortle,142,10,225,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle",59,63,80,65,80,58
9,Blastoise,239,16,855,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle",79,83,100,85,105,78
10,Caterpie,39,3,29,bug,"shield-dust, run-away","tackle, string-shot, snore, bug-bite, electroweb",45,30,35,20,20,45
11,Metapod,72,7,99,bug,shed-skin,"string-shot, harden, iron-defense, bug-bite, electroweb",50,20,55,25,25,30
12,Butterfree,178,11,320,"bug, flying","compound-eyes, tinted-lens","razor-wind, gust, whirlwind, headbutt, tackle",60,45,50,90,80,70
13,Weedle,39,3,32,"bug, poison","shield-dust, run-away","poison-sting, string-shot, bug-bite, electroweb",40,35,30,20,20,50
14,Kakuna,72,6,100,"bug, poison",shed-skin,"string-shot, harden, iron-defense, bug-bite, electroweb",45,25,50,25,25,35
15,Beedrill,178,10,295,"bug, poison","swarm, sniper","swords-dance, cut, headbutt, fury-attack, take-down",65,90,40,45,80,75
16,Pidgey,50,3,18,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly",40,45,40,35,35,56
17,Pidgeotto,122,11,300,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly",63,60,55,50,50,71
18,Pidgeot,216,15,395,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly",83,80,75,70,70,101
19,Rattata,51,3,35,normal,"run-away, guts, hustle","cut, headbutt, tackle, body-slam, take-down",30,56,35,25,35,72
20,Raticate,145,7,185,normal,"run-away, guts, hustle","swords-dance, cut, headbutt, tackle, body-slam",55,81,60,50,70,97
21,Spearow,52,3,20,"normal, flying","keen-eye, sniper","razor-wind, wing-attack, whirlwind, fly, headbutt",40,60,30,31,31,70
22,Fearow,155,12,380,"normal, flying","keen-eye, sniper","razor-wind, wing-attack, whirlwind, fly, headbutt",65,90,65,61,61,100
23,Ekans,58,20,69,poison,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap",35,60,44,40,54,55
24,Arbok,157,35,650,poison,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap",60,95,69,65,79,80
25,Pikachu,112,4,60,electric,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, double-kick",35,55,40,50,50,90
26,Raichu,218,8,300,electric,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, mega-kick",60,90,55,90,80,110
27,Sandshrew,60,6,120,ground,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt",50,75,85,20,30,40
28,Sandslash,158,10,295,ground,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt",75,100,110,45,55,65
29,Nidoran-F,55,4,70,poison,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, tackle",55,47,52,40,40,41
30,Nidorina,128,8,200,poison,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, horn-drill",70,62,67,55,55,56
31,Nidoqueen,227,13,600,"poison, ground","poison-point, rivalry, sheer-force","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch",90,92,87,75,85,76
32,Nidoran-M,55,5,90,poison,"poison-point, rivalry, hustle","cut, double-kick, headbutt, horn-attack, fury-attack",46,57,40,40,40,50
33,Nidorino,128,9,195,poison,"poison-point, rivalry, hustle","cut, double-kick, headbutt, horn-attack, fury-attack",61,72,57,55,55,65
34,Nidoking,227,14,620,"poison, ground","poison-point, rivalry, sheer-force","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch",81,102,77,85,75,85
35,Clefairy,113,6,75,fairy,"cute-charm, magic-guard, friend-guard","pound, double-slap, mega-punch, fire-punch, ice-punch",70,45,48,60,65,35
36,Clefable,217,13,400,fairy,"cute-charm, magic-guard, unaware","pound, double-slap, mega-punch, fire-punch, ice-punch",95,70,73,95,90,60
37,Vulpix,60,6,99,fire,"flash-fire, drought","headbutt, tackle, body-slam, take-down, double-edge",38,41,40,50,65,65
38,Ninetales,177,11,199,fire,"flash-fire, drought","headbutt, tackle, body-slam, take-down, double-edge",73,76,75,81,100,100
39,Jigglypuff,95,5,55,"normal, fairy","cute-charm, competitive, friend-guard","pound, double-slap, mega-punch, fire-punch, ice-punch",115,45,20,45,25,20
40,Wigglytuff,196,10,120,"normal, fairy","cute-charm, competitive, frisk","pound, double-slap, mega-punch, fire-punch, ice-punch",140,70,45,85,50,45
41,Zubat,49,8,75,"poison, flying","inner-focus, infiltrator","razor-wind, gust, wing-attack, whirlwind, fly",40,45,35,30,40,55
42,Golbat,159,16,550,"poison, flying","inner-focus, infiltrator","razor-wind, gust, wing-attack, whirlwind, fly",75,80,70,65,75,90
43,Oddish,64,5,54,"grass, poison","chlorophyll, run-away","swords-dance, cut, headbutt, take-down, double-edge",45,50,55,75,65,30
44,Gloom,138,8,86,"grass, poison","chlorophyll, stench","swords-dance, cut, headbutt, take-down, double-edge",60,65,70,85,75,40
45,Vileplume,221,12,186,"grass, poison","chlorophyll, effect-spore","swords-dance, cut, headbutt, body-slam, take-down",75,80,85,110,90,50
46,Paras,57,3,54,"bug, grass","effect-spore, dry-skin, damp","scratch, swords-dance, cut, headbutt, body-slam",35,70,55,45,55,25
47,Parasect,142,10,295,"bug, grass","effect-spore, dry-skin, damp","scratch, swords-dance, cut, headbutt, body-slam",60,95,80,60,80,30
48,Venonat,61,10,300,"bug, poison","compound-eyes, tinted-lens, run-away","headbutt, tackle, take-down, double-edge, supersonic",60,55,50,40,55,45
49,Venomoth,158,15,125,"bug, poison","shield-dust, tinted-lens, wonder-skin","razor-wind, gust, whirlwind, headbutt, tackle",70,65,60,90,75,90
50,Diglett,53,2,8,ground,"sand-veil, arena-trap, sand-force","scratch, swords-dance, cut, sand-attack, headbutt",10,55,25,35,45,95
51,Dugtrio,149,7,333,ground,"sand-veil, arena-trap, sand-force","scratch, swords-dance, cut, sand-attack, headbutt",35,100,50,50,70,120
52,Meowth,58,4,42,normal,"pickup, technician, unnerve","pay-day, scratch, cut, headbutt, body-slam",40,45,35,40,40,90
53,Persian,154,10,320,normal,"limber, technician, unnerve","pay-day, scratch, cut, headbutt, body-slam",65,70,60,65,65,115
54,Psyduck,64,8,196,water,"damp, cloud-nine, swift-swim","mega-punch, pay-day, ice-punch, scratch, mega-kick",50,52,48,65,50,55
55,Golduck,175,17,766,water,"damp, cloud-nine, swift-swim","mega-punch, pay-day, ice-punch, scratch, mega-kick",80,82,78,95,80,85
56,Mankey,61,5,280,fighting,"vital-spirit, anger-point, defiant","karate-chop, mega-punch, pay-day, fire-punch, ice-punch",40,80,35,35,45,70
57,Primeape,159,10,320,fighting,"vital-spirit, anger-point, defiant","karate-chop, mega-punch, pay-day, fire-punch, ice-punch",65,105,60,60,70,95
58,Growlithe,70,7,190,fire,"intimidate, flash-fire, justified","double-kick, headbutt, body-slam, take-down, thrash",55,70,45,70,50,60
59,Arcanine,194,19,1550,fire,"intimidate, flash-fire, justified","headbutt, body-slam, take-down, double-edge, leer",90,110,80,100,80,95
60,Poliwag,60,6,124,water,"water-absorb, damp, swift-swim","pound, double-slap, headbutt, body-slam, take-down",40,50,40,40,40,90
61,Poliwhirl,135,10,200,water,"water-absorb, damp, swift-swim","pound, double-slap, mega-punch, ice-punch, mega-kick",65,65,65,50,50,90
62,Poliwrath,230,13,540,"water, fighting","water-absorb, damp, swift-swim","pound, double-slap, mega-punch, ice-punch, mega-kick",90,95,95,70,90,70
63,Abra,62,9,195,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",25,20,15,105,55,90
64,Kadabra,140,13,565,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",40,35,30,120,70,105
65,Alakazam,225,15,480,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",55,50,45,135,95,120
66,Machop,61,8,195,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch",70,80,50,35,35,35
67,Machoke,142,15,705,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch",80,100,70,50,60,45
68,Machamp,227,16,1300,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch",90,130,80,65,85,55
69,Bellsprout,60,7,40,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip",50,75,35,70,30,40
70,Weepinbell,137,10,64,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip",65,90,50,85,45,55
71,Victreebel,221,17,155,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip",80,105,65,100,70,70
72,Tentacool,67,9,455,"water, poison","clear-body, liquid-ooze, rain-dish","swords-dance, cut, bind, headbutt, wrap",40,40,35,50,100,70
73,Tentacruel,180,16,550,"water, poison","clear-body, liquid-ooze, rain-dish","swords-dance, cut, bind, headbutt, wrap",80,70,65,80,120,100
74,Geodude,60,4,200,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, sand-attack, headbutt",40,80,100,30,30,20
75,Graveler,137,10,1050,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, sand-attack, headbutt",55,95,115,45,45,35
76,Golem,223,14,3000,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, mega-kick, sand-attack",80,120,130,55,65,45
77,Ponyta,82,10,300,fire,"run-away, flash-fire, flame-body","stomp, double-kick, headbutt, horn-drill, tackle",50,85,55,65,65,90
78,Rapidash,175,17,950,fire,"run-away, flash-fire, flame-body","pay-day, swords-dance, stomp, double-kick, headbutt",65,100,70,80,80,105
79,Slowpoke,63,12,360,"water, psychic","oblivious, own-tempo, regenerator","pay-day, stomp, headbutt, tackle, body-slam",90,65,65,40,40,15
80,Slowbro,172,16,785,"water, psychic","oblivious, own-tempo, regenerator","mega-punch, pay-day, ice-punch, stomp, mega-kick",95,75,110,100,80,30
81,Magnemite,65,3,60,"electric, steel","magnet-pull, sturdy, analytic","headbutt, tackle, take-down, double-edge, supersonic",25,35,70,95,55,45
82,Magneton,163,10,600,"electric, steel","magnet-pull, sturdy, analytic","headbutt, tackle, take-down, double-edge, supersonic",50,60,95,120,70,70
83,Farfetchd,132,8,150,"normal, flying","keen-eye, inner-focus, defiant","razor-wind, swords-dance, cut, gust, whirlwind",52,90,55,58,62,60
84,Doduo,62,14,392,"normal, flying","run-away, early-bird, tangled-feet","swords-dance, wing-attack, whirlwind, fly, jump-kick",35,85,45,35,35,75
85,Dodrio,165,18,852,"normal, flying","run-away, early-bird, tangled-feet","swords-dance, wing-attack, whirlwind, fly, jump-kick",60,110,70,60,60,110
86,Seel,65,11,900,water,"thick-fat, hydration, ice-body","pay-day, slam, headbutt, horn-drill, body-slam",65,45,55,45,70,45
87,Dewgong,166,17,1200,"water, ice","thick-fat, hydration, ice-body","pay-day, headbutt, horn-drill, body-slam, take-down",90,70,80,70,95,70
88,Grimer,65,9,300,poison,"stench, sticky-hold, poison-touch","pound, fire-punch, ice-punch, thunder-punch, headbutt",80,80,50,40,50,25
89,Muk,175,12,300,poison,"stench, sticky-hold, poison-touch","pound, fire-punch, ice-punch, thunder-punch, headbutt",105,105,75,65,100,50
90,Shellder,61,3,40,water,"shell-armor, skill-link, overcoat","headbutt, tackle, take-down, double-edge, twineedle",30,65,100,45,25,40
91,Cloyster,184,15,1325,"water, ice","shell-armor, skill-link, overcoat","headbutt, tackle, body-slam, take-down, double-edge",50,95,180,85,45,70
92,Gastly,62,13,1,"ghost, poison",levitate,"fire-punch, ice-punch, thunder-punch, headbutt, disable",30,35,30,100,35,80
93,Haunter,142,16,1,"ghost, poison",levitate,"fire-punch, ice-punch, thunder-punch, headbutt, mega-drain",45,50,45,115,55,95
94,Gengar,225,15,405,"ghost, poison",cursed-body,"mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",60,65,60,130,75,110
95,Onix,77,88,2100,"rock, ground","rock-head, sturdy, weak-armor","bind, slam, headbutt, tackle, body-slam",35,45,160,30,45,70
96,Drowzee,66,10,324,psychic,"insomnia, forewarn, inner-focus","pound, mega-punch, fire-punch, ice-punch, thunder-punch",60,48,45,43,90,42
97,Hypno,169,16,756,psychic,"insomnia, forewarn, inner-focus","pound, mega-punch, fire-punch, ice-punch, thunder-punch",85,73,70,73,115,67
98,Krabby,65,4,65,water,"hyper-cutter, shell-armor, sheer-force","vice-grip, guillotine, swords-dance, cut, slam",30,105,90,25,25,50
99,Kingler,166,13,600,water,"hyper-cutter, shell-armor, sheer-force","vice-grip, guillotine, swords-dance, cut, slam",55,130,115,50,50,75
100,Voltorb,66,5,104,electric,"soundproof, static, aftermath","headbutt, tackle, take-down, double-edge, sonic-boom",40,30,50,55,55,100
101,Electrode,172,12,666,electric,"soundproof, static, aftermath","headbutt, tackle, take-down, double-edge, sonic-boom",60,50,70,80,80,150
102,Exeggcute,65,4,25,"grass, psychic","chlorophyll, harvest","swords-dance, headbutt, take-down, double-edge, psybeam",60,40,80,60,45,40
103,Exeggutor,186,20,1200,"grass, psychic","chlorophyll, harvest","swords-dance, stomp, headbutt, body-slam, take-down",95,95,85,125,75,55
104,Cubone,64,4,65,ground,"rock-head, lightning-rod, battle-armor","mega-punch, fire-punch, thunder-punch, swords-dance, double-kick",50,50,95,40,50,35
105,Marowak,149,10,450,ground,"rock-head, lightning-rod, battle-armor","mega-punch, fire-punch, thunder-punch, swords-dance, mega-kick",60,80,110,50,80,45
106,Hitmonlee,159,15,498,fighting,"limber, reckless, unburden","mega-punch, swords-dance, double-kick, mega-kick, jump-kick",50,120,53,35,110,87
107,Hitmonchan,159,14,502,fighting,"keen-eye, iron-fist, inner-focus","comet-punch, mega-punch, fire-punch, ice-punch, thunder-punch",50,105,79,35,110,76
108,Lickitung,77,12,655,normal,"own-tempo, oblivious, cloud-nine","mega-punch, fire-punch, ice-punch, thunder-punch, swords-dance",90,55,75,60,75,30
109,Koffing,68,6,10,poison,"levitate, neutralizing-gas, stench","headbutt, tackle, body-slam, take-down, flamethrower",40,65,95,60,45,35
110,Weezing,172,12,95,poison,"levitate, neutralizing-gas, stench","headbutt, tackle, body-slam, take-down, flamethrower",65,90,120,85,70,60
